IDEOLOGIA,resultado,GOOGLE_MENSUAL,GOOGLE_SEMANAL,encuesta,nombre_encuesta,año
Centro derecha,5.510000000000001,4.866666666666666,5.216666666666667,3.233333333333333,Encuesta 1,2014
Centro izquierda,12.056666666666667,11.243333333333332,9.176666666666668,12.633333333333333,Encuesta 1,2014
Derecha,10.37,8.063333333333334,9.036666666666667,9.833333333333334,Encuesta 1,2014
Izquierda,5.3999999999999995,9.153333333333334,9.893333333333333,3.3666666666666667,Encuesta 1,2014
Centro derecha,5.510000000000001,4.866666666666666,5.216666666666667,4.8,Gallup,2014
Centro izquierda,12.056666666666667,11.243333333333332,9.176666666666668,13.200000000000001,Gallup,2014
Derecha,10.37,8.063333333333334,9.036666666666667,9.766666666666667,Gallup,2014
Izquierda,5.3999999999999995,9.153333333333334,9.893333333333333,3.6333333333333333,Gallup,2014
Centro derecha,5.510000000000001,4.866666666666666,5.216666666666667,3.1333333333333333,Datexto,2014
Centro izquierda,12.056666666666667,11.243333333333332,9.176666666666668,13.133333333333333,Datexto,2014
Derecha,10.37,8.063333333333334,9.036666666666667,8.533333333333333,Datexto,2014
Izquierda,5.3999999999999995,9.153333333333334,9.893333333333333,3.233333333333333,Datexto,2014
Centro derecha,3.74,4.695,4.95,5.0,CNC,2018
Centro izquierda,13.235,10.584999999999999,13.08,11.0,CNC,2018
Derecha,20.17,12.59,11.805,18.0,CNC,2018
Izquierda,12.855,22.085,20.105,13.5,CNC,2018
Centro derecha,3.74,4.695,4.95,5.5,Guarumo,2018
Centro izquierda,13.235,10.584999999999999,13.08,9.15,Guarumo,2018
Derecha,20.17,12.59,11.805,18.8,Guarumo,2018
Izquierda,12.855,22.085,20.105,12.2,Guarumo,2018
Centro derecha,3.74,4.695,4.95,3.95,Invamer,2018
Centro izquierda,13.235,10.584999999999999,13.08,7.9,Invamer,2018
Derecha,20.17,12.59,11.805,20.65,Invamer,2018
Izquierda,12.855,22.085,20.105,15.5,Invamer,2018
Centro derecha,29.15,32.9,39.13,20.3,Guarumo,2022
Centro izquierda,4.33,8.1,8.9,4.3,Guarumo,2022
Derecha,24.77,9.6,7.8,30.8,Guarumo,2022
Izquierda,41.75,49.28,44.11,37.9,Guarumo,2022
Centro derecha,29.15,32.9,39.13,21.9,CNC,2022
Centro izquierda,4.33,8.1,8.9,4.5,CNC,2022
Derecha,24.77,9.6,7.8,23.9,CNC,2022
Izquierda,41.75,49.28,44.11,41.0,CNC,2022
Centro derecha,29.15,32.9,39.13,20.9,Invamer,2022
Centro izquierda,4.33,8.1,8.9,5.1,Invamer,2022
Derecha,24.77,9.6,7.8,27.1,Invamer,2022
Izquierda,41.75,49.28,44.11,40.6,Invamer,2022
